  4263 1495299171.13614: Loading Connection 'network_cli' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/network_cli.py
  4263 1495299171.13994: Loading ShellModule 'csh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/csh.py
  4263 1495299171.14062: Loading ShellModule 'fish' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/fish.py
  4263 1495299171.14117: Loading ShellModule 'powershell' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/powershell.py
  4263 1495299171.14135: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py
  4263 1495299171.14208: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py (found_in_cache=True, class_only=False)
  4263 1495299171.46134: Loading TerminalModule 'ios' from /usr/lib/python2.7/dist-packages/ansible/plugins/terminal/ios.py
2017-05-20 16:53:21,257 p=4291 u=vagrant |    4291 1495299201.25655: starting run
2017-05-20 16:53:21,425 p=4291 u=vagrant |    4291 1495299201.42541: Loading CallbackModule 'json' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/json.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,427 p=4291 u=vagrant |    4291 1495299201.42668: Loading CallbackModule 'junit' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/junit.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,428 p=4291 u=vagrant |    4291 1495299201.42759: Loading CallbackModule 'log_plays' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/log_plays.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,429 p=4291 u=vagrant |    4291 1495299201.42869: Loading CallbackModule 'logentries' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/logentries.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,429 p=4291 u=vagrant |    4291 1495299201.42952: Loading CallbackModule 'logstash' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/logstash.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,431 p=4291 u=vagrant |    4291 1495299201.43102: Loading CallbackModule 'mail' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/mail.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,432 p=4291 u=vagrant |    4291 1495299201.43190: Loading CallbackModule 'minimal' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/minimal.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,433 p=4291 u=vagrant |    4291 1495299201.43273: Loading CallbackModule 'oneline' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/oneline.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,434 p=4291 u=vagrant |    4291 1495299201.43352: Loading CallbackModule 'osx_say' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/osx_say.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,435 p=4291 u=vagrant |    4291 1495299201.43467: Loading CallbackModule 'profile_tasks' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/profile_tasks.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,436 p=4291 u=vagrant |    4291 1495299201.43565: Loading CallbackModule 'selective' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/selective.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,436 p=4291 u=vagrant |    4291 1495299201.43648: Loading CallbackModule 'skippy' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/skippy.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,437 p=4291 u=vagrant |    4291 1495299201.43734: Loading CallbackModule 'slack' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/slack.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,439 p=4291 u=vagrant |    4291 1495299201.43889: Loading CallbackModule 'syslog_json' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/syslog_json.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,440 p=4291 u=vagrant |    4291 1495299201.43974: Loading CallbackModule 'timer' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/timer.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,441 p=4291 u=vagrant |    4291 1495299201.44068: Loading CallbackModule 'tree' from /usr/lib/python2.7/dist-packages/ansible/plugins/callback/tree.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,455 p=4291 u=vagrant |    4291 1495299201.45517: in VariableManager get_vars()
2017-05-20 16:53:21,456 p=4291 u=vagrant |    4291 1495299201.45608: done with get_vars()
2017-05-20 16:53:21,458 p=4291 u=vagrant |    4291 1495299201.45756: in VariableManager get_vars()
2017-05-20 16:53:21,458 p=4291 u=vagrant |    4291 1495299201.45847: done with get_vars()
2017-05-20 16:53:21,460 p=4291 u=vagrant |  PLAY [Get device configuration] ********************************************************************
2017-05-20 16:53:21,472 p=4291 u=vagrant |    4291 1495299201.47133: Loading StrategyModule 'linear' from /usr/lib/python2.7/dist-packages/ansible/plugins/strategy/linear.py
2017-05-20 16:53:21,478 p=4291 u=vagrant |    4291 1495299201.47638: getting the remaining hosts for this loop
2017-05-20 16:53:21,479 p=4291 u=vagrant |    4291 1495299201.47880: done getting the remaining hosts for this loop
2017-05-20 16:53:21,480 p=4291 u=vagrant |    4291 1495299201.47967: building list of next tasks for hosts
2017-05-20 16:53:21,480 p=4291 u=vagrant |    4291 1495299201.48039: getting the next task for host E2
2017-05-20 16:53:21,481 p=4291 u=vagrant |    4291 1495299201.48129: done getting next task for host E2
2017-05-20 16:53:21,482 p=4291 u=vagrant |    4291 1495299201.48205:  ^ task is: TASK: meta (flush_handlers)
2017-05-20 16:53:21,483 p=4291 u=vagrant |    4291 1495299201.48270:  ^ state is: HOST STATE: block=1, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-05-20 16:53:21,483 p=4291 u=vagrant |    4291 1495299201.48331: done building task lists
2017-05-20 16:53:21,484 p=4291 u=vagrant |    4291 1495299201.48378: counting tasks in each state of execution
2017-05-20 16:53:21,486 p=4291 u=vagrant |    4291 1495299201.48426: done counting tasks in each state of execution:
	num_setups: 0
	num_tasks: 1
	num_rescue: 0
	num_always: 0
2017-05-20 16:53:21,486 p=4291 u=vagrant |    4291 1495299201.48647: advancing hosts in ITERATING_TASKS
2017-05-20 16:53:21,487 p=4291 u=vagrant |    4291 1495299201.48697: starting to advance hosts
2017-05-20 16:53:21,487 p=4291 u=vagrant |    4291 1495299201.48750: getting the next task for host E2
2017-05-20 16:53:21,488 p=4291 u=vagrant |    4291 1495299201.48796: done getting next task for host E2
2017-05-20 16:53:21,488 p=4291 u=vagrant |    4291 1495299201.48854:  ^ task is: TASK: meta (flush_handlers)
2017-05-20 16:53:21,489 p=4291 u=vagrant |    4291 1495299201.48897:  ^ state is: HOST STATE: block=1, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-05-20 16:53:21,489 p=4291 u=vagrant |    4291 1495299201.48944: done advancing hosts to next task
2017-05-20 16:53:21,494 p=4291 u=vagrant |    4291 1495299201.49387: done queuing things up, now waiting for results queue to drain
2017-05-20 16:53:21,494 p=4291 u=vagrant |    4291 1495299201.49458: results queue empty
2017-05-20 16:53:21,495 p=4291 u=vagrant |    4291 1495299201.49506: checking for any_errors_fatal
2017-05-20 16:53:21,496 p=4291 u=vagrant |    4291 1495299201.49582: done checking for any_errors_fatal
2017-05-20 16:53:21,497 p=4291 u=vagrant |    4291 1495299201.49694: checking for max_fail_percentage
2017-05-20 16:53:21,497 p=4291 u=vagrant |    4291 1495299201.49759: done checking for max_fail_percentage
2017-05-20 16:53:21,498 p=4291 u=vagrant |    4291 1495299201.49809: checking to see if all hosts have failed and the running result is not ok
2017-05-20 16:53:21,498 p=4291 u=vagrant |    4291 1495299201.49847: done checking to see if all hosts have failed
2017-05-20 16:53:21,498 p=4291 u=vagrant |    4291 1495299201.49878: getting the remaining hosts for this loop
2017-05-20 16:53:21,499 p=4291 u=vagrant |    4291 1495299201.49911: done getting the remaining hosts for this loop
2017-05-20 16:53:21,499 p=4291 u=vagrant |    4291 1495299201.49934: building list of next tasks for hosts
2017-05-20 16:53:21,499 p=4291 u=vagrant |    4291 1495299201.49952: getting the next task for host E2
2017-05-20 16:53:21,499 p=4291 u=vagrant |    4291 1495299201.49972: done getting next task for host E2
2017-05-20 16:53:21,500 p=4291 u=vagrant |    4291 1495299201.49990:  ^ task is: TASK: ios_command
2017-05-20 16:53:21,500 p=4291 u=vagrant |    4291 1495299201.50012:  ^ state is: HOST STATE: block=2, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-05-20 16:53:21,500 p=4291 u=vagrant |    4291 1495299201.50031: done building task lists
2017-05-20 16:53:21,500 p=4291 u=vagrant |    4291 1495299201.50046: counting tasks in each state of execution
2017-05-20 16:53:21,501 p=4291 u=vagrant |    4291 1495299201.50063: done counting tasks in each state of execution:
	num_setups: 0
	num_tasks: 1
	num_rescue: 0
	num_always: 0
2017-05-20 16:53:21,501 p=4291 u=vagrant |    4291 1495299201.50116: advancing hosts in ITERATING_TASKS
2017-05-20 16:53:21,501 p=4291 u=vagrant |    4291 1495299201.50133: starting to advance hosts
2017-05-20 16:53:21,502 p=4291 u=vagrant |    4291 1495299201.50205: getting the next task for host E2
2017-05-20 16:53:21,503 p=4291 u=vagrant |    4291 1495299201.50275: done getting next task for host E2
2017-05-20 16:53:21,503 p=4291 u=vagrant |    4291 1495299201.50343:  ^ task is: TASK: ios_command
2017-05-20 16:53:21,504 p=4291 u=vagrant |    4291 1495299201.50381:  ^ state is: HOST STATE: block=2, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-05-20 16:53:21,504 p=4291 u=vagrant |    4291 1495299201.50436: done advancing hosts to next task
2017-05-20 16:53:21,505 p=4291 u=vagrant |    4291 1495299201.50490: getting variables
2017-05-20 16:53:21,505 p=4291 u=vagrant |    4291 1495299201.50555: in VariableManager get_vars()
2017-05-20 16:53:21,506 p=4291 u=vagrant |    4291 1495299201.50629: done with get_vars()
2017-05-20 16:53:21,507 p=4291 u=vagrant |    4291 1495299201.50705: done getting variables
2017-05-20 16:53:21,508 p=4291 u=vagrant |    4291 1495299201.50769: sending task start callback, copying the task so we can template it temporarily
2017-05-20 16:53:21,508 p=4291 u=vagrant |    4291 1495299201.50810: done copying, going to template now
2017-05-20 16:53:21,508 p=4291 u=vagrant |    4291 1495299201.50858: done templating
2017-05-20 16:53:21,509 p=4291 u=vagrant |    4291 1495299201.50897: here goes the callback...
2017-05-20 16:53:21,509 p=4291 u=vagrant |  TASK [ios_command] *********************************************************************************
2017-05-20 16:53:21,510 p=4291 u=vagrant |    4291 1495299201.50994: sending task start callback
2017-05-20 16:53:21,510 p=4291 u=vagrant |    4291 1495299201.51029: entering _queue_task() for E2/ios_command
2017-05-20 16:53:21,510 p=4291 u=vagrant |    4291 1495299201.51062: Creating lock for ios_command
2017-05-20 16:53:21,512 p=4291 u=vagrant |    4291 1495299201.51205: worker is 1 (out of 1 available)
2017-05-20 16:53:21,513 p=4291 u=vagrant |    4291 1495299201.51328: exiting _queue_task() for E2/ios_command
2017-05-20 16:53:21,514 p=4291 u=vagrant |    4291 1495299201.51395: done queuing things up, now waiting for results queue to drain
2017-05-20 16:53:21,514 p=4291 u=vagrant |    4291 1495299201.51451: waiting for pending results...
2017-05-20 16:53:21,519 p=4291 u=vagrant |    4301 1495299201.51891: running TaskExecutor() for E2/TASK: ios_command
2017-05-20 16:53:21,523 p=4291 u=vagrant |    4301 1495299201.52188: in run()
2017-05-20 16:53:21,527 p=4291 u=vagrant |    4301 1495299201.52578: calling self._execute()
2017-05-20 16:53:21,537 p=4291 u=vagrant |    4301 1495299201.53733: Loading Connection 'local' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/local.py
2017-05-20 16:53:21,539 p=4291 u=vagrant |    4301 1495299201.53947: Loading ShellModule 'csh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/csh.py
2017-05-20 16:53:21,540 p=4291 u=vagrant |    4301 1495299201.54040: Loading ShellModule 'fish' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/fish.py
2017-05-20 16:53:21,541 p=4291 u=vagrant |    4301 1495299201.54128: Loading ShellModule 'powershell' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/powershell.py
2017-05-20 16:53:21,542 p=4291 u=vagrant |    4301 1495299201.54228: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py
2017-05-20 16:53:21,543 p=4291 u=vagrant |    4301 1495299201.54336: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,544 p=4291 u=vagrant |    4301 1495299201.54398: in VariableManager get_vars()
2017-05-20 16:53:21,545 p=4291 u=vagrant |    4301 1495299201.54486: done with get_vars()
2017-05-20 16:53:21,548 p=4291 u=vagrant |    4301 1495299201.54708: Loading ActionModule 'ios' from /usr/lib/python2.7/dist-packages/ansible/plugins/action/ios.py
2017-05-20 16:53:21,549 p=4291 u=vagrant |    4301 1495299201.54907: starting attempt loop
2017-05-20 16:53:21,549 p=4291 u=vagrant |    4301 1495299201.54969: running the handler
2017-05-20 16:53:21,552 p=4291 u=vagrant |    4301 1495299201.55149: Loading Connection 'persistent' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/persistent.py
2017-05-20 16:53:21,553 p=4291 u=vagrant |    4301 1495299201.55264: Loading ShellModule 'csh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/csh.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,553 p=4291 u=vagrant |    4301 1495299201.55340: Loading ShellModule 'fish' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/fish.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,554 p=4291 u=vagrant |    4301 1495299201.55379: Loading ShellModule 'powershell' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/powershell.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,554 p=4291 u=vagrant |    4301 1495299201.55425: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,554 p=4291 u=vagrant |    4301 1495299201.55464: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,556 p=4291 u=vagrant |    4301 1495299201.55591: Loading Connection 'ssh' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/ssh.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,725 p=4302 u=vagrant |    4302 1495299201.72528: Loading Connection 'ssh' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/ssh.py (found_in_cache=False, class_only=True)
2017-05-20 16:53:21,733 p=4302 u=vagrant |  creating new control socket for host 172.16.1.111:22 as user cisco
2017-05-20 16:53:21,733 p=4302 u=vagrant |  control socket path is /home/vagrant/.ansible/pc/47f8092613
2017-05-20 16:53:21,733 p=4302 u=vagrant |  current working directory is /vagrant/Examples/Config-to-Git
2017-05-20 16:53:21,733 p=4302 u=vagrant |  using connection plugin network_cli
  4309 1495299201.77288: Loading Connection 'network_cli' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/network_cli.py
2017-05-20 16:53:21,773 p=4302 u=vagrant |    4309 1495299201.77288: Loading Connection 'network_cli' from /usr/lib/python2.7/dist-packages/ansible/plugins/connection/network_cli.py
  4309 1495299201.77547: Loading ShellModule 'csh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/csh.py
2017-05-20 16:53:21,775 p=4302 u=vagrant |    4309 1495299201.77547: Loading ShellModule 'csh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/csh.py
  4309 1495299201.77585: Loading ShellModule 'fish' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/fish.py
2017-05-20 16:53:21,775 p=4302 u=vagrant |    4309 1495299201.77585: Loading ShellModule 'fish' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/fish.py
  4309 1495299201.77642: Loading ShellModule 'powershell' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/powershell.py
2017-05-20 16:53:21,776 p=4302 u=vagrant |    4309 1495299201.77642: Loading ShellModule 'powershell' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/powershell.py
  4309 1495299201.77665: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py
2017-05-20 16:53:21,776 p=4302 u=vagrant |    4309 1495299201.77665: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py
  4309 1495299201.77705: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,777 p=4302 u=vagrant |    4309 1495299201.77705: Loading ShellModule 'sh' from /usr/lib/python2.7/dist-packages/ansible/plugins/shell/sh.py (found_in_cache=True, class_only=False)
2017-05-20 16:53:21,851 p=4302 u=vagrant |  connecting to host 172.16.1.111 returned an error
2017-05-20 16:53:21,851 p=4302 u=vagrant |  (14, 'Bad address')
2017-05-20 16:53:50,384 p=4291 u=vagrant |    4291 1495299230.38213: RUNNING CLEANUP
2017-05-20 16:53:50,390 p=4291 u=vagrant |   [ERROR]: User interrupted execution

2017-05-20 17:00:27,528 p=4668 u=vagrant |  PLAY [Get device configuration] ********************************************************************
2017-05-20 17:00:27,553 p=4668 u=vagrant |  TASK [ios_command] *********************************************************************************
2017-05-20 17:00:29,820 p=4683 u=vagrant |  creating new control socket for host 172.16.1.110:22 as user cisco
2017-05-20 17:00:29,821 p=4683 u=vagrant |  control socket path is /home/vagrant/.ansible/pc/d537d3ea98
2017-05-20 17:00:29,821 p=4683 u=vagrant |  current working directory is /vagrant/Examples/Config-to-Git
2017-05-20 17:00:29,821 p=4683 u=vagrant |  using connection plugin network_cli
2017-05-20 17:00:29,873 p=4684 u=vagrant |  creating new control socket for host 172.16.1.111:22 as user cisco
2017-05-20 17:00:29,887 p=4684 u=vagrant |  control socket path is /home/vagrant/.ansible/pc/47f8092613
2017-05-20 17:00:29,887 p=4684 u=vagrant |  current working directory is /vagrant/Examples/Config-to-Git
2017-05-20 17:00:29,887 p=4684 u=vagrant |  using connection plugin network_cli
2017-05-20 17:00:29,902 p=4685 u=vagrant |  creating new control socket for host 172.16.1.112:22 as user cisco
2017-05-20 17:00:29,945 p=4685 u=vagrant |  control socket path is /home/vagrant/.ansible/pc/e3a1e35360
2017-05-20 17:00:29,945 p=4685 u=vagrant |  current working directory is /vagrant/Examples/Config-to-Git
2017-05-20 17:00:29,945 p=4685 u=vagrant |  using connection plugin network_cli
2017-05-20 17:00:29,978 p=4686 u=vagrant |  creating new control socket for host 172.16.1.120:22 as user cisco
2017-05-20 17:00:29,979 p=4686 u=vagrant |  control socket path is /home/vagrant/.ansible/pc/62784bd107
2017-05-20 17:00:29,979 p=4686 u=vagrant |  current working directory is /vagrant/Examples/Config-to-Git
2017-05-20 17:00:29,979 p=4686 u=vagrant |  using connection plugin network_cli
2017-05-20 17:00:29,993 p=4687 u=vagrant |  creating new control socket for host 172.16.1.121:22 as user cisco
2017-05-20 17:00:30,054 p=4687 u=vagrant |  control socket path is /home/vagrant/.ansible/pc/d174acf9c7
2017-05-20 17:00:30,056 p=4687 u=vagrant |  current working directory is /vagrant/Examples/Config-to-Git
2017-05-20 17:00:30,057 p=4687 u=vagrant |  using connection plugin network_cli
2017-05-20 17:00:30,743 p=4683 u=vagrant |  ssh connection done, setting terminal
2017-05-20 17:00:30,755 p=4683 u=vagrant |  ssh connection has completed successfully
2017-05-20 17:00:30,755 p=4683 u=vagrant |  connection established to 172.16.1.110 in 0:00:00.933798
2017-05-20 17:00:30,812 p=4683 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:30,812 p=4683 u=vagrant |  socket operation is CONTEXT
2017-05-20 17:00:30,813 p=4683 u=vagrant |  updating play_context for connection
2017-05-20 17:00:30,814 p=4683 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:30,814 p=4683 u=vagrant |  attempting to open shell to device
2017-05-20 17:00:30,944 p=4684 u=vagrant |  ssh connection done, setting terminal
2017-05-20 17:00:30,952 p=4684 u=vagrant |  ssh connection has completed successfully
2017-05-20 17:00:30,952 p=4684 u=vagrant |  connection established to 172.16.1.111 in 0:00:01.065059
2017-05-20 17:00:31,106 p=4683 u=vagrant |  shell successfully opened
2017-05-20 17:00:31,106 p=4683 u=vagrant |  socket operation completed with rc 0
2017-05-20 17:00:31,442 p=4683 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:31,442 p=4683 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:31,489 p=4685 u=vagrant |  ssh connection done, setting terminal
2017-05-20 17:00:31,497 p=4685 u=vagrant |  ssh connection has completed successfully
2017-05-20 17:00:31,497 p=4685 u=vagrant |  connection established to 172.16.1.112 in 0:00:01.551695
2017-05-20 17:00:31,778 p=4686 u=vagrant |  ssh connection done, setting terminal
2017-05-20 17:00:31,785 p=4686 u=vagrant |  ssh connection has completed successfully
2017-05-20 17:00:31,785 p=4686 u=vagrant |  connection established to 172.16.1.120 in 0:00:01.805555
2017-05-20 17:00:31,858 p=4684 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:31,859 p=4684 u=vagrant |  socket operation is CONTEXT
2017-05-20 17:00:31,860 p=4684 u=vagrant |  updating play_context for connection
2017-05-20 17:00:31,860 p=4684 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:31,860 p=4684 u=vagrant |  attempting to open shell to device
2017-05-20 17:00:31,877 p=4687 u=vagrant |  ssh connection done, setting terminal
2017-05-20 17:00:31,884 p=4687 u=vagrant |  ssh connection has completed successfully
2017-05-20 17:00:31,884 p=4687 u=vagrant |  connection established to 172.16.1.121 in 0:00:01.827238
2017-05-20 17:00:31,912 p=4685 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:31,913 p=4685 u=vagrant |  socket operation is CONTEXT
2017-05-20 17:00:31,913 p=4685 u=vagrant |  updating play_context for connection
2017-05-20 17:00:31,914 p=4685 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:31,914 p=4685 u=vagrant |  attempting to open shell to device
2017-05-20 17:00:31,934 p=4686 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:31,934 p=4686 u=vagrant |  socket operation is CONTEXT
2017-05-20 17:00:31,935 p=4686 u=vagrant |  updating play_context for connection
2017-05-20 17:00:31,935 p=4686 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:31,935 p=4686 u=vagrant |  attempting to open shell to device
2017-05-20 17:00:31,992 p=4687 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:31,992 p=4687 u=vagrant |  socket operation is CONTEXT
2017-05-20 17:00:31,993 p=4687 u=vagrant |  updating play_context for connection
2017-05-20 17:00:31,993 p=4687 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:31,993 p=4687 u=vagrant |  attempting to open shell to device
2017-05-20 17:00:32,156 p=4684 u=vagrant |  shell successfully opened
2017-05-20 17:00:32,157 p=4684 u=vagrant |  socket operation completed with rc 0
2017-05-20 17:00:32,346 p=4684 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:32,347 p=4684 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:32,367 p=4686 u=vagrant |  shell successfully opened
2017-05-20 17:00:32,367 p=4686 u=vagrant |  socket operation completed with rc 0
2017-05-20 17:00:32,376 p=4685 u=vagrant |  shell successfully opened
2017-05-20 17:00:32,376 p=4685 u=vagrant |  socket operation completed with rc 0
2017-05-20 17:00:32,463 p=4687 u=vagrant |  shell successfully opened
2017-05-20 17:00:32,464 p=4687 u=vagrant |  socket operation completed with rc 0
2017-05-20 17:00:32,922 p=4686 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:32,923 p=4686 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:32,936 p=4685 u=vagrant |  incoming request accepted on persistent socket
2017-05-20 17:00:32,936 p=4685 u=vagrant |  socket operation is EXEC
2017-05-20 17:00:32,980 p=4687 u=vagrant |  incoming request accepted on persistent socket
